Strain	Admin Division	Originating Lab	Submitting Lab	gisaid_epi_isl	url	Country	Region	Host	Submission Date	Location	Clade	Collection Data	Author	Exposure History	genbank_accession
Wuhan/IVDC-HB-05/2019	Hubei	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	EPI_ISL_402121		China	Asia	Human	Older	Wuhan		2019-12-30	Tan et al		
China/Shanghai/SH0007	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416320		China	Asia	Human	1-2 days ago			2020-01-28	Wang et al		
China/Shanghai/SH0093	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416389		China	Asia	Human	1-2 days ago			2020-01-21	Wang et al		
Wuhan/HBCDC-HB-01/2019	Hubei	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	EPI_ISL_402132		China	Asia	Human	Older	Wuhan		2019-12-30	Fang et al		
China/Shanghai/SH0036	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416345		China	Asia	Human	1-2 days ago			2020-02-04	Wang et al		
Wuhan/WIV05/2019	Hubei	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	EPI_ISL_402128		China	Asia	Human	Older	Wuhan		2019-12-30	Zhou et al		MN996529
Hangzhou/ZJU-07/2020	Zhejiang	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	EPI_ISL_416425		China	Asia	Human	1-2 days ago	Hangzhou		2020-02-03	Yao et al		
Wuhan/WH01/2019	Hubei	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	EPI_ISL_406798		China	Asia	Human	Older	Wuhan		2019-12-26	Chen et al		LR757998
Wuhan/IPBCAMS-WH-01/2019	Hubei	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	EPI_ISL_402123		China	Asia	Human	Older	Wuhan		2019-12-24	Ren et al		MT019529
Wuhan/IPBCAMS-WH-03/2019	Hubei	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	EPI_ISL_403930		China	Asia	Human	Older	Wuhan		2019-12-30	Ren et al		MT019531
China/Shanghai/SH0020	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416329		China	Asia	Human	1-2 days ago			2020-02-01	Wang et al		
Guangdong/GDFS2020127-P0026/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413874		China	Asia	Human	One week ago			2020-02-12	Lu et al		
China/Shanghai/SH0114	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416401		China	Asia	Human	1-2 days ago			2020-02-02	Wang et al		
China/Shanghai/SH0107	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416397		China	Asia	Human	1-2 days ago			2020-02-02	Wang et al		
Wuhan/WIV02/2019	Hubei	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	EPI_ISL_402127		China	Asia	Human	Older	Wuhan		2019-12-30	Zhou et al		MN996527
USA/CA8/2020	California	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	EPI_ISL_411955		USA	North America	Human	One month ago			2020-02-10	Queen et al		MT106053
Wuhan/HBCDC-HB-02/2019	Hubei	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	EPI_ISL_412898		China	Asia	Human	One month ago	Wuhan		2019-12-30	Fang et al		
Guangdong/2020XN4448-P0002/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413857		China	Asia	Human	One week ago			2020-01-31	Lu et al		
China/Shanghai/SH0039	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416348		China	Asia	Human	1-2 days ago			2020-02-06	Wang et al		
Guangdong/GD2020139-P0007/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413882		China	Asia	Human	One week ago			2020-02-02	Lu et al		
Guangzhou/GZMU0014/2020	Guangdong	State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University	The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen	EPI_ISL_414692		China	Asia	Human	3-7 days ago	Guangzhou		2020-02-25	Zhao et al et al		
China/Shanghai/SH0008	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416321		China	Asia	Human	1-2 days ago			2020-01-28	Wang et al		
Jiangsu/JS02/2020	Jiangsu	NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology	Jiangsu Provincial Center for Disease Control & Prevention	EPI_ISL_411952		China	Asia	Human	One month ago			2020-01-24	Zhao et al		
Guangdong/20SF040/2020	Guangdong	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	EPI_ISL_403937		China	Asia	Human	Older	Zhuhai		2020-01-18	Kang et al		
Guangdong/20SF174/2020	Guangdong	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provinical Public Health	Guangdong Provincial Center for Disease Control and Prevention	EPI_ISL_406531		China	Asia	Human	Older	Zhuhai		2020-01-22	Kang et al		
USA/CA5/2020	California	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	EPI_ISL_408010		USA	North America	Human	Older			2020-01-29	Tao et al	Hubei	MT027064
Guangdong/20SF028/2020	Guangdong	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	EPI_ISL_403936		China	Asia	Human	Older	Zhuhai		2020-01-17	Kang et al		
Japan/KY-V-029/2020	Kyoto	Dept. of Virology III, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	EPI_ISL_408669		Japan	Asia	Human	Older	Kyoto		2020-01-29	Sekizuka et al		LC522972
China/Shanghai/SH0088	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416387		China	Asia	Human	1-2 days ago			2020-02-01	Wang et al		
China/Shanghai/SH0053	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416361		China	Asia	Human	1-2 days ago			2020-02-01	Wang et al		
Guangzhou/20SF206/2020	Guangdong	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provinical Public Health	Guangdong Provincial Center for Diseases Control and Prevention	EPI_ISL_406533		China	Asia	Human	Older	Guangzhou		2020-01-22	Kang et al		
China/Shanghai/SH0051	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416359		China	Asia	Human	1-2 days ago			2020-02-06	Wang et al		
China/IQTC01/2020	Guangdong		Technology Centre, Guangzhou Customs	EPI_ISL_412966		China	Asia	Human	One month ago	Guangzhou		2020-02-05	Shi et al		
China/Shanghai/SH0055	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416363		China	Asia	Human	1-2 days ago			2020-02-08	Wang et al		
Guangdong/GD2020246-P0028/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413864		China	Asia	Human	One week ago			2020-02-09	Lu et al		
Shenzhen/SZTH-003/2020	Guangdong	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	EPI_ISL_406594		China	Asia	Human	Older	Shenzhen		2020-01-16	Yang et al		
Foshan/20SF207/2020	Guangdong	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	EPI_ISL_406534		China	Asia	Human	Older	Foshan		2020-01-22	Kang et al		
China/Shanghai/SH0058	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416365		China	Asia	Human	1-2 days ago			2020-01-30	Wang et al		
China/Shanghai/SH0052	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416360		China	Asia	Human	1-2 days ago			2020-02-01	Wang et al		
Canada/ON-VIDO-01/2020	Ontario	Public Health Ontario Laboratory	National Microbiology Laboratory	EPI_ISL_413015		Canada	North America	Human	One month ago			2020-01-23	Tyson et al	Hubei	
USA/CA3/2020	California	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	EPI_ISL_408008		USA	North America	Human	Older			2020-01-29	Queen et al		MT027062
USA/CA4/2020	California	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	EPI_ISL_408009		USA	North America	Human	Older			2020-01-29	Queen et al		MT027063
China/Shanghai/SH0050	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416358		China	Asia	Human	1-2 days ago			2020-02-05	Wang et al		
Canada/ON-PHL2445/2020	Ontario	Public Health Ontario Laboratory	Ontario Agency for Health Protection and Promotion (OAHPP)	EPI_ISL_413014		Canada	North America	Human	One month ago			2020-01-25	Eshaghi et al	Hubei	
SaudiArabia/KAIMRC-Alghoribi/2020	Riyadh	Clinical Microbiology Lab	Infectious Disease Research Department, King Abdullah International Medical Research Center (KAIMRC)	EPI_ISL_416432		Saudi Arabia	Asia	Human	1-2 days ago			2020-03-07	Alghoribi et al		
USA/WA-UW93/2020	Washington	UW Virology Lab	UW Virology Lab	EPI_ISL_416449		USA	North America	Human	1-2 days ago			2020-03-11	Roychoudhury et al		
China/Shanghai/SH0033	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416342		China	Asia	Human	1-2 days ago			2020-02-04	Wang et al		
China/Shanghai/SH0068	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416371		China	Asia	Human	1-2 days ago			2020-02-05	Wang et al		
China/Shanghai/SH0045	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416354		China	Asia	Human	1-2 days ago			2020-02-04	Wang et al		
China/Shanghai/SH0042	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416351		China	Asia	Human	1-2 days ago			2020-02-06	Wang et al		
France/IDF0515/2020	Ile de France	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_408430		France	Europe	Human	Older	Paris		2020-01-29	Albert et al	Hubei	
Chongqing/IVDC-CQ-001/2020	Chongqing	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	EPI_ISL_408481		China	Asia	Human	Older			2020-01-18	Tan et al		
HongKong/VB20026565/2020	Hong Kong	Hong Kong Department of Health	School of Public Health, The University of Hon g Kong	EPI_ISL_412030		Hong Kong	Asia	Human	One month ago			2020-02-01	Dominic N.C. Tsang et al		
HongKong/case78_VM20002849/2020	Hong Kong	Hong Kong Department of Health	School of Public Health, The University of Hong Kong	EPI_ISL_414571		Hong Kong	Asia	Human	One week ago	Hong Kong		2020-02-22	Dominic N.C. Tsang et al		
USA/UPHL-01/2020	Utah	Utah Public Health Laboratory	Utah Public Health Laboratory	EPI_ISL_415539		USA	North America	Human	3-7 days ago			2020-03-13	Young et al		
Singapore/3/2020	Singapore	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	EPI_ISL_407988		Singapore	Asia	Human	Older	Singapore		2020-02-01	Anderson et al		
Japan/Hu_DP_Kng_19-020/2020	Kanagawa		Takayuki Hishiki Kanagawa Prefectural Institute of Public Health, Department of Microbiology	EPI_ISL_412968		Japan	Asia	Human	One month ago			2020-02-10	Hishiki et al		
England/Sheff02/2020	England	Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust	Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute,  The Medical School, University of Sheffield	EPI_ISL_414501		United Kingdom	Europe	Human	One week ago	Yorkshire		2020-03-03	Thushan de Silva et al		
Japan/Hu_DP_Kng_19-027/2020	Kanagawa		Takayuki Hishiki Kanagawa Prefectural Institute of Public Health, Department of Microbiology	EPI_ISL_412969		Japan	Asia	Human	One month ago			2020-02-10	Hishiki et al		
Japan/TK/20-31-3/2020	Tokyo	Department of Pathology, Toshima Hospital	Pathogen Genomics Center, National Institute of Infectious Diseases	EPI_ISL_413459		Japan	Asia	Human	One month ago			2020-02-20	Sekizuka et al		
China/Shanghai/SH0070	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416373		China	Asia	Human	1-2 days ago		A3	2020-02-07	Wang et al		
Wuhan/HBCDC-HB-05/2020	Hubei	CR&WISCO GENERAL HOSPITAL	Hubei Provincial Center for Disease Control and Prevention	EPI_ISL_412981		China	Asia	Human	One month ago	Wuhan	A3	2020-01-18	Fang et al		
Guangdong/DG-S41-P0056/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413896		China	Asia	Human	One week ago		A3	2020-02-28	Lu et al		
Shandong/IVDC-SD-001/2020	Shandong	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	EPI_ISL_408482		China	Asia	Human	Older	Qingdao	A3	2020-01-19	Tan et al		
China/Shanghai/SH0081	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416383		China	Asia	Human	1-2 days ago		A3	2020-02-01	Wang et al		
Netherlands/ZuidHolland_16/2020	South Holland	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414558		Netherlands	Europe	Human	One week ago		A3	2020-03-06	Nieuwenhuijse et al		
China/Shanghai/SH0022	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416331		China	Asia	Human	1-2 days ago		A3	2020-01-30	Wang et al		
China/Shanghai/SH0023	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416332		China	Asia	Human	1-2 days ago		A3	2020-01-30	Wang et al		
Taiwan/CGMH-CGU-04/2020	Taoyuan	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	EPI_ISL_415742		Taiwan	Asia	Human	3-7 days ago		A3	2020-02-27	Tsao et al		
Taiwan/CGMH-CGU-03/2020	Taoyuan	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	EPI_ISL_415741		Taiwan	Asia	Human	3-7 days ago		A3	2020-02-26	Tsao et al		
Taiwan/CGMH-CGU-05/2020	Taoyuan	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	EPI_ISL_415743		Taiwan	Asia	Human	3-7 days ago		A3	2020-02-27	Tsao et al		
China/Shanghai/SH0080	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416382		China	Asia	Human	1-2 days ago		A3	2020-02-08	Wang et al		
China/Shanghai/SH0125	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416406		China	Asia	Human	1-2 days ago		A3	2020-02-15	Wang et al		
China/Shanghai/SH0126	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416407		China	Asia	Human	1-2 days ago		A3	2020-02-15	Wang et al		
Australia/VIC04/2020	Victoria	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	EPI_ISL_416412		Australia	Oceania	Human	1-2 days ago	Melbourne	A3	2020-03-02	Caly et al		
Georgia/Tb-82/2020	Tbilisi	R. G. Lugar Center for Public Health Research,  National Center for Disease Control and Public Health (NCDC) of Georgia.	R. G. Lugar Center for Public Health Research,  National Center for Disease Control and Public Health (NCDC) of Georgia.	EPI_ISL_415644		Georgia	Asia	Human	3-7 days ago		A3	2020-02-28	Kotaria et al		
Canada/BC_25211/2020	British Columbia	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	EPI_ISL_415579		Canada	North America	Human	3-7 days ago		A3	2020-03-02	Harrigan et al	Iran	
Canada/BC_65034/2020	British Columbia	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	EPI_ISL_415585		Canada	North America	Human	3-7 days ago		A3	2020-03-04	Harrigan et al	Iran	
Canada/BC_66353/2020	British Columbia	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	EPI_ISL_415587		Canada	North America	Human	3-7 days ago		A3	2020-03-04	Harrigan et al	Iran	
Australia/NSW09/2020	New South Wales	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	EPI_ISL_413595		Australia	Oceania	Human	One week ago	Sydney	A3	2020-02-28	Rockett et al		
Australia/NSW12/2020	New South Wales	Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	EPI_ISL_413598		Australia	Oceania	Human	One week ago	Sydney	A3	2020-03-04	Gray et al	Iran	
Australia/NSW06/2020	New South Wales	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	EPI_ISL_413213		Australia	Oceania	Human	One month ago	Sydney	A3	2020-02-29	Eden et al	Iran	
Australia/NSW11/2020	New South Wales	Centre for Infectious Diseases and Microbiology- Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	EPI_ISL_413597		Australia	Oceania	Human	One week ago	Sydney	A3	2020-03-02	Lam et al	Iran	
England/20100023206/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415137		United Kingdom	Europe	Human	3-7 days ago		A3	2020-03-02	Galiano et al		
Canada/BC_37_0-2/2020	British Columbia	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	EPI_ISL_412965		Canada	North America	Human	One month ago		A3	2020-02-16	Harrigan et al	Iran	
USA/NY1-PV08001/2020	New York	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	EPI_ISL_414476		USA	North America	Human	One week ago		A3	2020-02-29	Patel et al	Iran	
England/200990002/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_414522		United Kingdom	Europe	Human	One week ago		A3	2020-02-28	Galiano et al		
Germany/BavPat2/2020	Bavaria	Bundeswehr Institute of Microbiology	Bundeswehr Institute of Microbiology	EPI_ISL_414520		Germany	Europe	Human	One week ago	Munich	A3	2020-03-02	Walter et al	Iran	
Canada/BC_13297/2020	British Columbia	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	EPI_ISL_415578		Canada	North America	Human	3-7 days ago		A3	2020-02-27	Harrigan et al	Iran	
Canada/BC_02421/2020	British Columbia	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	EPI_ISL_415581		Canada	North America	Human	3-7 days ago		A3	2020-03-01	Harrigan et al	Iran	
Canada/BC_17397/2020	British Columbia	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	EPI_ISL_415580		Canada	North America	Human	3-7 days ago		A3	2020-02-28	Harrigan et al	Iran	
Canada/BC_69243/2020	British Columbia	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	EPI_ISL_415577		Canada	North America	Human	3-7 days ago		A3	2020-02-20	Harrigan et al	Iran	
Australia/VIC06/2020	Victoria	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	EPI_ISL_416414		Australia	Oceania	Human	1-2 days ago	Melbourne	A3	2020-03-06	Caly et al		
England/200960041/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_414008		United Kingdom	Europe	Human	One week ago		A3	2020-02-27	Galiano et al		
NewZealand/01/2020	Auckland	Auckland Hospital	Institute of Environmental Science and Research (ESR)	EPI_ISL_413490		New Zealand	Oceania	Human	One month ago	Auckland	A3	2020-02-27	Storey et al	Iran	
USA/WA-UW22/2020	Washington	UW Virology Lab	UW Virology Lab	EPI_ISL_414591		USA	North America	Human	One week ago	King County	A3	2020-03-06	Roychoudhury et al		
Australia/NSW05/2020	New South Wales	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	EPI_ISL_412975		Australia	Oceania	Human	One month ago	Sydney	A3	2020-02-28	Eden et al	Iran	
Australia/NSW14/2020	New South Wales	Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	EPI_ISL_413600		Australia	Oceania	Human	One week ago	Sydney	A3	2020-03-03	Gall et al		
Australia/NSW13/2020	New South Wales	Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	EPI_ISL_413599		Australia	Oceania	Human	One week ago	Sydney	A3	2020-03-04	Timms et al	Iran	
Australia/NSW07/2020	New South Wales	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	EPI_ISL_413214		Australia	Oceania	Human	One month ago	Sydney	A3	2020-02-29	Eden et al		
Australia/QLD09/2020	Queensland	Pathology Queensland	Public Health Virology Laboratory	EPI_ISL_414414		Australia	Oceania	Human	One week ago	Gold Coast	A3	2020-02-29	Huang et al		
China/Shanghai/SH0106	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416396		China	Asia	Human	1-2 days ago			2020-02-10	Wang et al		
Australia/NSW02/2020	New South Wales	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	EPI_ISL_408976		Australia	Oceania	Human	Older	Sydney		2020-01-22	Rockett et al		
China/Shanghai/SH0071	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416374		China	Asia	Human	1-2 days ago			2020-02-07	Wang et al		
